#datatype measurement,tag,double,dateTime:RFC3339
medida,host,porcetaje_uso,time
sensor,host1,64.23,2021-10-21T00:00:00Z
sensor,host2,72.01,2021-10-21T01:00:00Z
sensor,host1,62.61,2021-10-21T02:00:10Z
sensor,host2,72.98,2021-10-21T03:00:10Z
sensor,host1,63.40,2021-10-21T04:00:20Z
sensor,host2,73.77,2021-10-21T05:00:20Z
sensor,host1,64.23,2021-10-22T00:00:00Z
sensor,host2,72.01,2021-10-22T01:00:00Z
sensor,host1,62.61,2021-10-22T02:00:10Z
sensor,host2,72.98,2021-10-22T03:00:10Z
sensor,host1,63.40,2021-10-22T04:00:20Z
sensor,host2,73.77,2021-10-22T05:00:20Z
sensor,host1,64.23,2021-10-23T00:00:00Z
sensor,host2,72.01,2021-10-23T01:00:00Z
sensor,host1,62.61,2021-10-23T02:00:10Z
sensor,host2,72.98,2021-10-23T03:00:10Z
sensor,host1,63.40,2021-10-23T04:00:20Z
sensor,host2,73.77,2021-10-23T05:00:20Z
sensor,host1,64.23,2021-10-24T00:00:00Z
sensor,host2,72.01,2021-10-24T01:00:00Z
sensor,host1,62.61,2021-10-24T02:00:10Z
sensor,host2,72.98,2021-10-24T03:00:10Z
sensor,host1,63.40,2021-10-24T04:00:20Z
sensor,host2,73.77,2021-10-24T05:00:20Z
sensor,host1,64.23,2021-10-25T00:00:00Z
sensor,host2,72.01,2021-10-25T01:00:00Z
sensor,host1,62.61,2021-10-25T02:00:10Z
sensor,host2,72.98,2021-10-25T03:00:10Z
sensor,host1,63.40,2021-10-25T04:00:20Z
sensor,host2,73.77,2021-10-25T05:00:20Z
